article_title,journal_name,author_names,corresponding_author_email,comparison,gene_symbol,logFC,mean_case,mean_control,p_value,n_case,n_control,FDR,dataset,species,axis,brain_region,time_after_TBI,severity,platform,gene_set,source_note,significant_nominal_0_05,significant_FDR_0_05,stage_correlation,n_samples,effect,comparison_short
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_FWM_TBI_vs_Control,MYL6,0.032845830560598,3.0175542431944664,2.9847084126338683,0.0745531532643799,21.0,26.0,0.9019561876825009,GSE104687,human,brain_region,FWM,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.032845830560598,104687 FWM
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_FWM_TBI_vs_Control,ACTB,0.0148571864720734,3.304935713702839,3.290078527230765,0.2098734946964443,21.0,26.0,0.9019561876825009,GSE104687,human,brain_region,FWM,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0148571864720734,104687 FWM
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_FWM_TBI_vs_Control,MYH9,0.0211260730501585,2.510438818506033,2.4893127454558743,0.3206718899071015,21.0,26.0,0.9019561876825009,GSE104687,human,brain_region,FWM,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0211260730501585,104687 FWM
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_FWM_TBI_vs_Control,WASF2,0.0373157344582883,2.3360437487973336,2.298728014339045,0.3390711672492237,21.0,26.0,0.9019984705612288,GSE104687,human,brain_region,FWM,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.0373157344582883,104687 FWM
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_FWM_TBI_vs_Control,TLN1,0.0249898067240867,2.480307758463532,2.455317951739445,0.4170738765590827,21.0,26.0,0.9031097957596678,GSE104687,human,brain_region,FWM,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0249898067240867,104687 FWM
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_FWM_TBI_vs_Control,SLC7A11,0.0051405503430337,2.372613116929758,2.3674725665867244,0.8656792744409865,21.0,26.0,0.9713387713442804,GSE104687,human,brain_region,FWM,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.0051405503430337,104687 FWM
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_FWM_TBI_vs_Control,FLNA,0.0063539233248346,2.3150543236464425,2.308700400321608,0.9018818111284,21.0,26.0,0.9792816175286512,GSE104687,human,brain_region,FWM,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0063539233248346,104687 FWM
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_FWM_TBI_vs_Control,SLC3A2,-0.0016008620757554,2.486364343948172,2.487965206023928,0.9562498892025688,21.0,26.0,0.9902755973682896,GSE104687,human,brain_region,FWM,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,-0.0016008620757554,104687 FWM
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_HIP_TBI_vs_Control,ACTB,0.0206360225946675,3.3592505911096064,3.338614568514939,0.0419320483598472,21.0,26.0,0.8425365071986584,GSE104687,human,brain_region,HIP,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,True,False,,,0.0206360225946675,104687 HIP
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_HIP_TBI_vs_Control,MYL6,0.0214888971719888,2.999907762850909,2.97841886567892,0.08775130234759,21.0,26.0,0.8496063364667226,GSE104687,human,brain_region,HIP,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0214888971719888,104687 HIP
