article_title,journal_name,author_names,corresponding_author_email,analysis_unit,time,scope,region,treatment,mean_logFC,median_logFC,positive_genes,nominal_genes,panel_FDR_genes,min_p,n_genes
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Hipp_all_treatments,3DPI,region,Hipp,all,0.4046013006328169,0.3347137407955363,8,8,8,5.214314769273952e-07,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Hipp_Drug,3DPI,region_treatment,Hipp,Drug,0.4694384630028401,0.3888869440972367,8,7,7,5.7794811942878026e-05,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_all_regions_all_treatments,3DPI,overall,all,all,0.1792346540875988,0.1865676293538624,8,5,4,1.9107697394771684e-05,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Hipp_Veh,3DPI,region_treatment,Hipp,Veh,0.3397641382627946,0.3149874354286077,8,8,3,0.0018374148924534,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Drug_all_regions,3DPI,treatment,all,Drug,0.1959464623410902,0.1935615249273733,8,4,2,0.0027155808992795,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Drug_all_regions,29DPI,treatment,all,Drug,0.1191053479222064,0.1087511763986621,7,1,1,0.001329382900493,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Hipp_all_treatments,29DPI,region,Hipp,all,0.152635361381076,0.1236088800169627,8,4,0,0.0023235605715622,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Hipp_Drug,29DPI,region_treatment,Hipp,Drug,0.1788526310821937,0.1424936101912575,7,3,0,0.0122750746383602,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Veh_all_regions,3DPI,treatment,all,Veh,0.1625228458341075,0.1774762296414488,8,2,0,0.0025960111072621,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Thal_Drug,3DPI,region_treatment,Thal,Drug,0.0628140414596442,0.0635926719008104,7,2,0,0.0056198969673946,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Hypo_Veh,3DPI,region_treatment,Hypo,Veh,0.0752443504405494,0.0839725473674053,7,1,0,0.0174241192441432,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Thal_Drug,29DPI,region_treatment,Thal,Drug,0.069821954625781,0.0252782937650155,7,1,0,0.0410594739572662,8
