article_title,journal_name,author_names,corresponding_author_email,module,celltype_proxy,spearman_r,p_value,n_samples,FDR,abs_r,interpretation
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_disulfidptosis_8gene,Endothelial,0.8928571428571429,0.0068071874089353,7,0.122529373360837,0.8928571428571429,nominal proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_actin_6gene,Endothelial,0.8214285714285715,0.0234488083456915,7,0.2110392751112235,0.8214285714285715,nominal proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_disulfidptosis_8gene,Neuron,-0.7857142857142859,0.0362384626798271,7,0.2174307760789627,0.7857142857142859,nominal proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_transporter_2gene,Endothelial,0.7142857142857144,0.0713435614675375,7,0.2568368212831353,0.7142857142857144,directional proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_transporter_2gene,Neuron,-0.7142857142857144,0.0713435614675375,7,0.2568368212831353,0.7142857142857144,directional proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_actin_6gene,Neuron,-0.642857142857143,0.1193923734274109,7,0.3581771202822328,0.642857142857143,directional proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_transporter_2gene,Microglia,0.5357142857142858,0.2152174556780127,7,0.4304349113560254,0.5357142857142858,directional proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_transporter_2gene,OPC,0.5357142857142858,0.2152174556780127,7,0.4304349113560254,0.5357142857142858,directional proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_disulfidptosis_8gene,OPC,0.5357142857142858,0.2152174556780127,7,0.4304349113560254,0.5357142857142858,directional proxy clue
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,score_actin_6gene,OPC,0.5,0.2531699951003227,7,0.4557059911805809,0.5,directional proxy clue
