article_title,journal_name,author_names,corresponding_author_email,sample_accession,cells_before,median_genes_before,median_counts_before,mt_pct_before,cells_after,median_genes_after,median_counts_after,mt_pct_after,retained_fraction
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376803,2816,2602.0,5731.0,1.2962,2316,3311.0,8439.0,0.99727154,0.8224431818181818
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376804,1113,1694.0,3332.0,2.1383076,861,1838.0,3648.0,1.5040379,0.7735849056603774
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376805,2334,2451.5,5640.0,2.0479133,1965,2682.0,6465.0,1.6827785,0.8419023136246787
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376806,2031,1923.0,3858.0,2.3492064,1581,2132.0,4482.0,1.6949153,0.7784342688330872
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376807,2372,2545.5,5693.0,1.1026139,2002,3142.5,8254.5,0.8742288,0.8440134907251264
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376811,1211,810.0,1222.0,1.8475751,944,857.0,1313.0,1.274169,0.7795210569777044
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376812,957,1246.0,2034.0,2.3977866,696,1321.0,2148.0,1.3731153,0.7272727272727273
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376813,413,1050.0,1558.0,0.36231884,387,1101.0,1630.0,0.3241491,0.937046004842615
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376814,1027,402.0,637.0,9.33192,358,605.5,807.0,2.102509,0.3485881207400195
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376815,707,943.0,1434.0,2.4048095,502,1088.0,1681.5,1.532258,0.71004243281471
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376816,864,447.0,596.5,2.3095796,601,487.0,631.0,1.2360212,0.6956018518518519
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376817,872,947.0,1425.5,0.5631541,729,984.0,1448.0,0.3478261,0.8360091743119266
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376818,1070,809.5,1299.5,3.2788386,685,1015.0,1537.0,1.8818948,0.6401869158878505
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376819,1107,1126.0,1667.0,0.39392236,1047,1161.0,1720.0,0.34013605,0.94579945799458
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376820,358,786.0,1037.5,2.7080095,254,917.5,1257.5,1.8198419,0.7094972067039106
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376821,1661,1164.0,1926.0,0.54102796,1496,1208.0,2002.5,0.41400948,0.9006622516556292
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSM6376822,3708,1524.5,2633.0,0.4226841,3203,1795.0,3242.0,0.29282576,0.8638079827400216
