article_title,journal_name,author_names,corresponding_author_email,cell_type,condition,gene,n_cells,mean_log1p_expr,pct_expressed
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,Control,SLC3A2,1385,0.2621382474899292,22.382671480144403
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,Control,SLC7A11,1385,1.5634846687316897,70.32490974729242
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,Control,WASF2,1385,0.5721347332000732,41.87725631768953
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,Control,TLN1,1385,0.0744041875004768,7.003610108303249
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,Control,ACTB,1385,0.1749707162380218,14.296028880866428
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,Control,MYH9,1385,0.2976197898387909,23.32129963898917
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,Control,MYL6,1385,0.0698962733149528,6.787003610108304
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,Control,FLNA,1385,0.1765173226594925,15.234657039711191
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,TBI,SLC3A2,674,0.3097825348377228,17.359050445103858
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,TBI,SLC7A11,674,0.4415248930454254,23.293768545994062
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,TBI,WASF2,674,0.5400596857070923,29.82195845697329
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,TBI,TLN1,674,0.0813245475292205,5.637982195845697
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,TBI,ACTB,674,0.3227168619632721,17.50741839762611
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,TBI,MYH9,674,0.4639411866664886,24.03560830860534
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,TBI,MYL6,674,0.2962053716182709,16.320474777448073
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Astrocyte,TBI,FLNA,674,0.2796806395053863,16.023738872403563
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,Control,SLC3A2,41,0.2937247455120086,19.51219512195122
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,Control,SLC7A11,41,0.7429271340370178,36.58536585365854
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,Control,WASF2,41,0.7170603275299072,36.58536585365854
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,Control,TLN1,41,0.3435170650482178,21.951219512195124
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,Control,ACTB,41,0.9540362358093262,43.90243902439025
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,Control,MYH9,41,1.276051640510559,63.41463414634146
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,Control,MYL6,41,0.1471229344606399,12.195121951219512
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,Control,FLNA,41,0.3107796311378479,19.51219512195122
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,TBI,SLC3A2,26,0.2486840188503265,11.538461538461538
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,TBI,SLC7A11,26,0.5312076210975647,19.230769230769237
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,TBI,WASF2,26,0.6823426485061646,34.61538461538461
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,TBI,TLN1,26,0.2940475642681122,15.384615384615383
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,TBI,ACTB,26,0.5973175764083862,26.923076923076923
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,TBI,MYH9,26,1.0134745836257937,38.46153846153847
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,TBI,MYL6,26,0.3542266488075256,19.230769230769237
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Endothelial,TBI,FLNA,26,0.2614101767539978,15.384615384615383
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Immune,Control,SLC3A2,161,0.1015514805912971,5.590062111801243
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Immune,Control,SLC7A11,161,0.0139618292450904,0.6211180124223602
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,Immune,Control,WASF2,161,0.3052248656749725,15.527950310559005
